epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.15287795662879944,3.2298595905303955,0.17891156673431396,3.043896198272705,0.0005000000237487257
1,0.32618752121925354,2.372495174407959,0.4147392213344574,1.9737393856048584,0.0005000000237487257
2,0.4573119878768921,1.758741021156311,0.5077097415924072,1.5108752250671387,0.0005000000237487257
3,0.5691830515861511,1.3769961595535278,0.7154195308685303,1.071516752243042,0.0005000000237487257
4,0.7168309688568115,0.9636176228523254,0.8315192461013794,0.6541322469711304,0.0005000000237487257
5,0.8219488859176636,0.6386113166809082,0.9013605713844299,0.41993871331214905,0.0005000000237487257
6,0.8842495679855347,0.44643911719322205,0.9333333373069763,0.26573875546455383,0.0005000000237487257
7,0.9248828887939453,0.32132408022880554,0.9573696255683899,0.1960943192243576,0.0005000000237487257
8,0.9459179639816284,0.2473183274269104,0.9689342379570007,0.16335096955299377,0.0005000000237487257
9,0.9566653966903687,0.20693343877792358,0.9768707752227783,0.1571107655763626,0.0005000000237487257
10,0.9661484360694885,0.17417766153812408,0.9734693765640259,0.1424628347158432,0.0005000000237487257
11,0.9725854396820068,0.14998099207878113,0.9841269850730896,0.10576359927654266,0.0005000000237487257
12,0.9756314754486084,0.13666103780269623,0.9859410524368286,0.10787507891654968,0.0005000000237487257
13,0.9775568246841431,0.12825672328472137,0.9775510430335999,0.1453825831413269,0.0005000000237487257
14,0.9806603789329529,0.11901264637708664,0.982086181640625,0.10739626735448837,0.0005000000237487257
15,0.9869824051856995,0.0986270010471344,0.9850339889526367,0.12598708271980286,0.0002500000118743628
16,0.987729549407959,0.09281598031520844,0.9841269850730896,0.10524123162031174,0.0002500000118743628
17,0.9895111918449402,0.08968760818243027,0.9857142567634583,0.12755493819713593,0.0002500000118743628
18,0.9904020428657532,0.08630519360303879,0.9863945841789246,0.12187241017818451,0.0002500000118743628
19,0.9898272752761841,0.08516436815261841,0.9843537211418152,0.12264688313007355,0.0002500000118743628
20,0.9919537901878357,0.0778234601020813,0.9850339889526367,0.10866167396306992,0.0001250000059371814
21,0.9936205148696899,0.0733395591378212,0.9850339889526367,0.1118922084569931,0.0001250000059371814
22,0.9937929511070251,0.07226265221834183,0.9850339889526367,0.11736458539962769,0.0001250000059371814
23,0.9948561787605286,0.06863543391227722,0.9843537211418152,0.11703532934188843,6.25000029685907e-05
24,0.9954884052276611,0.0669286921620369,0.9857142567634583,0.11196179687976837,6.25000029685907e-05
