,precision,recall,f1-score,support
0,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
1,0.9971949509116409,0.9875,0.9923237962316818,720.0
2,0.9752604166666666,0.9986666666666667,0.9868247694334651,750.0
3,0.9885057471264368,0.9555555555555556,0.9717514124293786,450.0
4,0.9984779299847792,0.9939393939393939,0.9962034927866363,660.0
5,0.9631901840490797,0.9968253968253968,0.9797191887675507,630.0
6,0.9130434782608695,0.98,0.9453376205787781,150.0
7,0.9408033826638478,0.9888888888888889,0.9642470205850487,450.0
8,0.9846153846153847,0.9955555555555555,0.9900552486187846,450.0
9,0.9834710743801653,0.9916666666666667,0.9875518672199171,480.0
10,1.0,0.996969696969697,0.9984825493171472,660.0
11,0.9974554707379135,0.9333333333333333,0.964329643296433,420.0
12,0.9984871406959153,0.9565217391304348,0.9770540340488527,690.0
13,0.9986091794158554,0.9972222222222222,0.9979152189020153,720.0
14,1.0,1.0,1.0,270.0
15,0.967741935483871,1.0,0.9836065573770492,210.0
16,1.0,1.0,1.0,150.0
17,1.0,0.9166666666666666,0.9565217391304348,360.0
18,0.9920844327176781,0.9641025641025641,0.9778933680104032,390.0
19,1.0,1.0,1.0,60.0
20,0.9782608695652174,1.0,0.989010989010989,90.0
21,0.7623762376237624,0.8555555555555555,0.806282722513089,90.0
22,1.0,0.875,0.9333333333333333,120.0
23,0.9803921568627451,1.0,0.9900990099009901,150.0
24,0.8979591836734694,0.9777777777777777,0.9361702127659575,90.0
25,0.9755102040816327,0.9958333333333333,0.9855670103092784,480.0
26,0.9473684210526315,1.0,0.972972972972973,180.0
27,0.9215686274509803,0.7833333333333333,0.8468468468468469,60.0
28,0.925,0.9866666666666667,0.9548387096774194,150.0
29,0.7317073170731707,1.0,0.8450704225352113,90.0
30,0.9747899159663865,0.7733333333333333,0.862453531598513,150.0
31,0.996309963099631,1.0,0.9981515711645101,270.0
32,0.9375,1.0,0.967741935483871,60.0
33,0.9813084112149533,1.0,0.9905660377358491,210.0
34,0.9917355371900827,1.0,0.995850622406639,120.0
35,0.9948586118251928,0.9923076923076923,0.993581514762516,390.0
36,0.9917355371900827,1.0,0.995850622406639,120.0
37,1.0,1.0,1.0,60.0
38,0.987012987012987,0.991304347826087,0.9891540130151844,690.0
39,1.0,0.9555555555555556,0.9772727272727273,90.0
40,0.9072164948453608,0.9777777777777777,0.9411764705882353,90.0
41,0.9836065573770492,1.0,0.9917355371900827,60.0
42,1.0,0.8444444444444444,0.9156626506024096,90.0
accuracy,0.9788598574821853,0.9788598574821853,0.9788598574821853,0.9788598574821853
macro avg,0.9662439784685762,0.96850319762251,0.9658730307944227,12630.0
weighted avg,0.980206572841163,0.9788598574821853,0.9788611398947655,12630.0
