,precision,recall,f1-score,support
0,0.7228915662650602,1.0,0.8391608391608392,60.0
1,0.9958333333333333,0.9958333333333333,0.9958333333333333,720.0
2,0.9933422103861518,0.9946666666666667,0.9940039973351099,750.0
3,0.9930232558139535,0.9488888888888889,0.9704545454545455,450.0
4,0.9984756097560976,0.9924242424242424,0.9954407294832827,660.0
5,0.9558599695585996,0.9968253968253968,0.9759129759129759,630.0
6,1.0,0.9866666666666667,0.9932885906040269,150.0
7,0.9932584269662922,0.9822222222222222,0.9877094972067039,450.0
8,0.9803921568627451,1.0,0.9900990099009901,450.0
9,0.973630831643002,1.0,0.986639260020555,480.0
10,1.0,0.996969696969697,0.9984825493171472,660.0
11,0.9617224880382775,0.9571428571428572,0.9594272076372315,420.0
12,0.9670958512160229,0.9797101449275363,0.9733621310295176,690.0
13,0.9986072423398329,0.9958333333333333,0.9972183588317107,720.0
14,1.0,1.0,1.0,270.0
15,0.9722222222222222,1.0,0.9859154929577465,210.0
16,1.0,1.0,1.0,150.0
17,1.0,0.9166666666666666,0.9565217391304348,360.0
18,1.0,0.8871794871794871,0.9402173913043478,390.0
19,0.9090909090909091,1.0,0.9523809523809523,60.0
20,0.7627118644067796,1.0,0.8653846153846154,90.0
21,0.8108108108108109,0.6666666666666666,0.7317073170731707,90.0
22,1.0,0.8083333333333333,0.8940092165898618,120.0
23,0.5521235521235521,0.9533333333333334,0.6992665036674817,150.0
24,0.41203703703703703,0.9888888888888889,0.5816993464052288,90.0
25,0.0,0.0,0.0,480.0
26,0.9625668449197861,1.0,0.9809264305177112,180.0
27,0.4,0.5,0.4444444444444444,60.0
28,0.5877551020408164,0.96,0.7291139240506329,150.0
29,0.3829787234042553,1.0,0.5538461538461539,90.0
30,0.8041958041958042,0.7666666666666667,0.7849829351535836,150.0
31,0.9675090252707581,0.9925925925925926,0.979890310786106,270.0
32,0.9836065573770492,1.0,0.9917355371900827,60.0
33,1.0,1.0,1.0,210.0
34,0.9523809523809523,1.0,0.975609756097561,120.0
35,1.0,1.0,1.0,390.0
36,1.0,0.9916666666666667,0.99581589958159,120.0
37,0.9523809523809523,1.0,0.975609756097561,60.0
38,0.9985250737463127,0.981159420289855,0.9897660818713451,690.0
39,0.967391304347826,0.9888888888888889,0.978021978021978,90.0
40,0.7946428571428571,0.9888888888888889,0.8811881188118812,90.0
41,1.0,0.8333333333333334,0.9090909090909091,60.0
42,1.0,1.0,1.0,90.0
accuracy,0.9368171021377673,0.9368171021377673,0.9368171021377673,0.9368171021377673
macro avg,0.8769084310483266,0.9314290298324677,0.8938180892019384,12630.0
weighted avg,0.9207537780861981,0.9368171021377673,0.92503653784975,12630.0
